Winnie-the-Pooh	soweli Wini Pu
And, as I say, you never can tell with bees.”	mi toki a e ni: “tenpo ala la jan li ken kama sona e ijo pi pipi kon pi ko suwi.”
	
There was no wind to blow him nearer to the tree,	kon ala li tawa poka pi kasi suli e ona.
so there he stayed.	tan ni la ona li awen lon ni.
He could see the honey, he could smell the honey, but he couldn’t quite reach the honey.	ona li ken lukin e ko suwi li ken pilin e kon ona, taso ona li ken ala luka e ko suwi.
	
After a little while he called down to you.	pini pi tenpo lili la ona li toki wawa tawa sina lon anpa.
	
“Christopher Robin!” he said in a loud whisper.	“jan Kitopa Jopin o!” li toki kon wawa ona.
	
“Hallo!”	“toki!”
	
“I think the bees suspect something!”	“tawa mi la pipi kon pi ko suwi li pilin pi ken pi ike kama.”
	
“What sort of thing?”	“ike seme?”
	
“I don’t know.	“mi sona ala.
But something tells me that they’re suspicious!”	taso tan ijo la tawa mi la ona mute li pilin pi ken pi ike kama.”
	
“Perhaps they think that you’re after their honey?”	“ken la tawa ona mute la sina wile alasa e ko suwi ona?”
	
“It may be that.	“ken.
You never can tell with bees.”	tenpo ala la jan li ken kama sona e ijo pi pipi kon pi ko suwi.”
	
There was another little silence,	weka kalama lili sin li lon.
and then he called down to you again.	pini ona la ona li toki wawa tawa sina lon tenpo sin.
	
“Christopher Robin!”	“jan Kitopa Jopin o!”
	
“Yes?”	“a?”
	
“Have you an umbrella in your house?”	“sina jo e len utala tawa telo tan sewi anu seme?”
	
“I think so.”	“tawa mi la jo.”
	
“I wish you would bring it out here,	“mi wile e ni: sina lon ni e ona.
and walk up and down with it,	sina tawa mute lon nasin sama.
and look up at me every now and then,	
and say ‘Tut-tut, it looks like rain.’	sina toki e ni: “mu-mu, tawa mi la telo li kama lon tan sewi.”
I think, if you did that, it would help the deception which we are practising on these bees.”	tawa mi la sina pali ni, la ni li pana e pona ni: mi tu li ken lawa ike e pipi kon pi ko suwi.”
	
Well, you laughed to yourself, “Silly old Bear!”	a, sina a musi tawa sina sama e ni: “soweli nasa pi luka wawa o!”
but you didn’t say it aloud because you were so fond of him,	taso sina toki kalama ala tan ni: tawa sina la ona li pona suli.
and you went home for your umbrella.	tan ni la sina tawa tomo. sina wile e len utala tawa telo tan sewi.
	
“Oh, there you are!” called down Winnie-the-Pooh, as soon as you got back to the tree.	“a, sina kama lon a!” li toki wawa pi soweli Wini Pu tawa anpa lon tenpo ni: sina kama sin lon kasi suli.
“I was beginning to get anxious.	“mi kama pilin akesi.
I have discovered that the bees are now definitely Suspicious.”	mi kama sona e ni: pipi kon pi ko suwi li kama sona e ken pi kama ike.”
	
“Shall I put my umbrella up?” you said.	“mi o sinpin e len utala tawa telo tan sewi anu seme?” li toki sina.
	
“Yes, but wait a moment.	“sinpin, taso o awen lon tenpo lili.
We must be practical.	mi o kama lukin e pona pali.
The important bee to deceive is the Queen Bee.	pipi kon suli pi ko suwi li pipi lawa taso. mi tu o toki ike e ona.
Can you see which is the Queen Bee from down there?”	sina lon anpa li ken lukin e pipi lawa anu seme?”
	
“No.”	“ala.”
	
“A pity.	“ike.
Well, now, if you walk up and down with your umbrella, saying, ‘Tut-tut, it looks like rain,’	ni la o tawa mute lon nasin sama o toki e ni: “mu-mu, tawa mi la telo li kama lon tan sewi.”
I shall do what I can by singing a little Cloud Song, such as a cloud might sing…	mi ken pali ni taso: mi pana e kalama musi pi kon telo lon sewi sama kon telo lon sewi…
Go!”	o tawa!”
	
So, while you walked up and down	ni la sina tawa mute lon nasin sama.
and wondered if it would rain,	sina toki e ni: sina wile sona e ni: telo tan sewi li kama anu seme.
Winnie-the-Pooh sang this song:	tenpo sama la soweli Wini Pu li kalama musi e ni:
	
How sweet to be a Cloud	ni li suwi: ijo li kon telo lon sewi
Floating in the Blue!	li kon lon laso sewi
Every little cloud	kon telo lili ale lon sewi
Always sings aloud.	li kalama musi e ni:
“How sweet to be a Cloud	ni li suwi: ijo li kon telo lon sewi
Floating in the Blue!”	li kon lon laso sewi!”
It makes him very proud	ona li pilin suli tan ni:
To be a little cloud.	ona li kon telo lili lon sewi.
	
The bees were still buzzing as suspiciously as ever.	sama tenpo pini ale la pipi kon pi ko suwi li kalama “SSS” ni: ona li pilin pi ken pi ike kama.
Some of them, indeed, left their nests and flew all round the cloud as it began the second verse of this song,	a, wan ona li tawa weka tan tomo ona li tawa lon poka sike pi kon telo lon sewi lon tenpo ni: ona li pana e pini pi kalama musi ni.
and one bee sat down on the nose of the cloud for a moment, and then got up again.	pipi kon wan pi ko suwi li kama anpa lon nena sinpin pi kon telo lon sewi lon tenpo lili li tawa weka.
	
“Christopher — ow!	“jan Kitopa — a!
— Robin,” called out the cloud.	— Jopin o” li toki wawa pi kon telo lon sewi.
	
“Yes?”	“a?”
	
“I have just been thinking,	“mi pini toki insa.
and I have come to a very important decision.	mi kama sona e ijo pi suli mute.
These are the wrong sort of bees.”	pipi kon ni pi ko suwi li ike.”
	
“Are they?”	“ni?”
	
“Quite the wrong sort.	“ike, a.
So I should think they would make the wrong sort of honey, shouldn’t you?”	tan ni la ni li kama tawa mi: ko suwi ona li ike.”
	
“Would they?”	“ni?”
	
“Yes.	“a.
So I think I shall come down.”	tan ni la mi wile kama sin lon anpa.”
	
“How?” asked you.	“kepeken seme?” li toki sina.
	
Winnie-the-Pooh hadn’t thought about this.	soweli Wini Pu li kama ala sona e ni.
If he let go of the string, he would fall — bump —	ona li weka e luka tan linja, la ona li kiwen utala tawa anpa — PUN.
and he didn’t like the idea of that.	tawa ona la ni li pona ala.
So he thought for a long time, and then he said:	tan ni la ona li toki insa lon tenpo suli li toki e ni:
	
“Christopher Robin, you must shoot the balloon with your gun.	“jan Kitopa Jopin o, sina o tan e kiwen utala tawa sike kon, kepeken ilo alasa sina.
Have you got your gun?”	ona li lon sina anu seme?”
	
“Of course I have,” you said.	“ni li sona: lon” li toki sina.
“But if I do that, it will spoil the balloon,” you said.	“taso mi pali ni, la ni li pakala e kon sike” li toki sina.
But if you don’t” said Pooh, “I shall have to let go,	“taso sina pali ni ala, la” — li toki pi soweli Pu — “mi wile weka e luka.
and that would spoil me.”	ni li pakala e mi a.”
	
When he put it like this, you saw how it was, and you aimed very carefully at the balloon, and fired.	kepeken nimi ona ni la sina kama sona li lawa e ilo alasa tawa sike kon, kepeken pilin mute li tan e kiwen utala.
	
“Ow!” said Pooh.	“a!” li toki pi soweli Pu.
	
“Did I miss?” you asked.	“mi tawa ijo ante e kiwen utala anu seme?” li toki sina.
	
“You didn’t exactly miss,” said Pooh, “but you missed the balloon.”	“tawa ijo ante ala” — li toki pi soweli Pu — “taso tawa sike kon ala.”
	
“I’m so sorry,” you said,	“mi pilin ike” li toki sina.
and you fired again,	sina tan e kiwen utala lon tenpo sin.
and this time you hit the balloon	tenpo ni la sina tawa sike kon e ona.
and the air came slowly out,	kon li kama weka tan ona lon tenpo suli.
and Winnie-the-Pooh floated down to the ground.	soweli Wini Pu li kama lon anpa.
	
But his arms were so stiff from holding on to the string of the balloon all that time	taso luka ona li linja ala tan ni: ona li awen e luka ona lon linja pi sike kon lon tenpo ale.
that they stayed up straight in the air for more than a week,	tan ni la luka ona li awen sinpin lon pini pi tenpo suno esun a.
and whenever a fly came and settled on his nose he had to blow it off.	pipi kon li kama anpa lon nena sinpin ona, la tenpo ale la ona li wile weka e ona kepeken kon tan uta.
And I think — but I am not sure — that that is why he was always called Pooh.	tawa mi la — taso mi sona ala — tan ni la nimi ona li Pu.
	
***	***
	
“Is that the end of the story?” asked Christopher Robin.	“ni li pini toki?” li toki pi jan Kitopa Jopin.
	
“That’s the end of that one.	“ni li pini pi wan ni.
There are others.”	taso wan ante li lon.”
	
“About Pooh and Me?”	“pi ijo pi soweli Pu en mi anu seme?”
	
“And Piglet and Rabbit and all of you.	“en soweli lili en soweli pi kute suli en sina ale.
Don’t you remember?”	seme anu sina awen ala sona?”
	
“I do remember,	“mi awen sona.
and then when I try to remember, I forget.”	taso mi lukin awen sona, la mi pini sona.”
	
“That day when Pooh and Piglet tried to catch the Heffalump —”	“tenpo suno ni: soweli Pu en soweli lili li wile alasa e soweli pi nena suli.”
	
“They didn’t catch it, did they?”	“ona tu li kama ala alasa e ona anu seme?”
	
“No.”	“ala.”
	
“Pooh couldn’t, because he hasn’t any brain.	“soweli Pu li ken ala tan ni: ona li jo ala e lawa.
Did I catch it?”	mi kama alasa e ona anu seme?”
	
“Well, that comes into the story.”	“ni li wan toki.”
	
Christopher Robin nodded.	jan Kitopa Jopin li a kepeken lawa.
	
“I do remember,” he said, “only Pooh doesn’t very well,	“mi awen sona a” — li toki ona — “taso soweli Pu li awen sona ala.
